ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-12-05T14:59:20Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",150049,IN,27.5.172.93,Kottu Paattu,Nomadic Voice,Kottu Paattu,spotify:track:7ukz2iowzcqamtDUxQTkGk,,,,,,,,playbtn,trackdone,false,false,false,,false
2020-12-05T15:01:50Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",146940,IN,27.5.172.93,Love Your Voice,JONY,Список твоих мыслей,spotify:track:75VNPADAFa4iNpjEBUYMhF,,,,,,,,trackdone,endplay,false,false,false,,false
2020-12-05T15:07:48Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",358626,IN,27.5.172.93,Pachai Nirame,Hariharan,Alaipayuthey,spotify:track:3hp56aHySTDt9bdZiwdDO1,,,,,,,,clickrow,trackdone,false,false,false,,false
2020-12-05T15:14:07Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",378560,IN,27.5.172.93,Kaattrae En Vaasal - Wind,Unnikrishnan,Rhythm,spotify:track:1edm6pAKQv5JsRjxsyjJFY,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T15:15:09Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",61120,IN,27.5.172.93,Nenjai Poopol,Harish Raghavendra,Minnalae,spotify:track:5gQIaBLDjep4mEPAVu2Jq3,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T15:19:11Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",241973,IN,27.5.172.93,Endrendrum Punnagai,Srinivas,Alaipayuthey,spotify:track:3mrFhHALZLJ4ZIEiS5IPy1,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T15:23:48Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",275586,IN,27.5.172.93,Kadhal Sadugudu,S.P. Charan,Alaipayuthey,spotify:track:4shmzSwbjpKUIlNhxzlVeC,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T15:30:47Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",385786,IN,27.5.172.93,Ale Ale,A.R. Rahman,Boys,spotify:track:5R2H02qNrNVdcc4R9In88i,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T15:36:53Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",360880,IN,27.5.172.93,Enna Solla Pogirai,Shankar Mahadevan,Kandukondain Kandukondain,spotify:track:40a42KKcVcnqT3Wz24INIm,,,,,,,,trackerror,trackdone,false,false,false,,false
2020-12-05T15:41:53Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",299146,IN,27.5.172.93,Vaseegara,Bombay Jayashri,Minnalae,spotify:track:1LYBXvPOFsCTp4nqh6ylyh,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T15:46:59Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",288000,IN,27.5.172.93,"Nee Partha Parvaikku (From ""Heyram"")",Hariharan,Hits of Hariharan,spotify:track:6o4ObQro1fo46it8K1SNNU,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T15:52:26Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",326960,IN,27.5.172.93,Venmathiye,Tippu,Minnalae,spotify:track:2VXF2HjgxpsQg2k3OEyrvA,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T15:54:42Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",103602,IN,27.5.172.93,"Kaadhal kaditham (From ""Jodi"")",Unni Menon,Hits of A.R.Rahman Isai Saral,spotify:track:2KZ7VdPXY5k8B3pZB3nhCv,,,,,,,,trackdone,endplay,false,false,false,,false
2020-12-05T16:01:20Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",398341,IN,27.5.172.93,Kurukku Siruthvalea (From Mudhalvan),Hariharan,Singer Special Hariharan and K.J.Jesudas,spotify:track:00QuXoF6LyKwH9xz7lXGdf,,,,,,,,clickrow,trackdone,false,false,false,,false
2020-12-05T16:07:05Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",344816,IN,27.5.172.93,Sotta Sotta m,Sujatha,Taj Mahal (Original Motion Picture Soundtrack),spotify:track:4Hfab9JSboztQUlw1oSmGB,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T16:12:08Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",302367,IN,27.5.172.93,Nenjinile,S. Janaki,Uyire (Original Motion Picture Soundtrack),spotify:track:5LULgwaei1OGnWnbklM6GN,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T16:17:56Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",347640,IN,27.5.172.93,Yaro Yarodi,Mahalakshmi Iyer,Alaipayuthey,spotify:track:64SDHmpf8KipIjHvLqCnZA,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T16:19:53Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",116706,IN,27.5.172.93,Poopol Poopol,Tippu,Minnalae,spotify:track:6nkfIEg7nFhCusv8CVK0Cq,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-05T16:25:34Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",340244,IN,27.5.172.93,"Mun Paniya (From ""Nandhaa"")",S. P. Balasubrahmanyam,S.P.B and Shankar Mahadevan Hits,spotify:track:26WfomVOHXZ5CZaQAaZJm5,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-08T08:05:53Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",300038,IN,115.97.246.131,Mudher Kanave,Bombay Jayashri,Majunu,spotify:track:2fJhHArJsPfpyrzpo0puOt,,,,,,,,trackdone,unexpected-exit-while-paused,false,false,false,,false
2020-12-08T08:08:50Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",22504,IN,115.97.246.131,New York,A.R. Rahman,Silunu Oru Kadhal,spotify:track:38kzhc8vVQa9Ia6HJY3NHx,,,,,,,,trackdone,endplay,false,false,false,,false
2020-12-08T08:15:08Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",378240,IN,115.97.246.131,New York,A.R. Rahman,Silunu Oru Kadhal,spotify:track:38kzhc8vVQa9Ia6HJY3NHx,,,,,,,,clickrow,trackdone,false,false,false,,false
2020-12-08T08:21:05Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",356941,IN,115.97.246.131,Munbe Vaa,A.R. Rahman,Silunu Oru Kadhal,spotify:track:23MwjnLi2vYwS9fBuWpIMb,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-08T08:26:58Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",352710,IN,115.97.246.131,Ennodu Nee Irundhaal,A.R. Rahman,I (Original Motion Picture Soundtrack),spotify:track:7mLEUzAulFygMchoGMrP8E,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-08T08:31:27Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",268055,IN,115.97.246.131,Thalli Pogathey,A.R. Rahman,Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack),spotify:track:6wBXSf1chpnyXGOSvANs0a,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-08T08:36:58Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",330546,IN,115.97.246.131,Hosanna,A.R. Rahman,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),spotify:track:3l7JaDIJmWMpvcJqhTJjrk,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-08T08:37:27Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",27524,IN,115.97.246.131,Moongil Thottam,A.R. Rahman,Kadal (Original Motion Picture Soundtrack),spotify:track:5PNZX8yqzqqAMPpl3UAoaP,,,,,,,,trackdone,fwdbtn,false,false,false,,false
2020-12-08T08:41:40Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",251973,IN,115.97.246.131,Anbil Avan,A.R. Rahman,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),spotify:track:1QuZBM0iHDlr1oRVyeZypC,,,,,,,,fwdbtn,trackdone,false,false,false,,false
2020-12-08T08:42:32Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",20064,IN,115.97.246.131,Dil Bechara,A.R. Rahman,Dil Bechara,spotify:track:4UJkUnfEEL8B2JZ1OQfYOO,,,,,,,,trackdone,endplay,false,false,false,,false
2020-12-08T08:48:55Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",382743,IN,115.97.246.131,Marudaani,A.R. Rahman,Sakkarakatti (Original Motion Picture Soundtrack),spotify:track:7gaysiOWpGoNQocrSwa1yM,,,,,,,,clickrow,endplay,false,false,false,,false
2020-12-08T08:54:09Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",313533,IN,115.97.246.131,Innum Konjam Naeram,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),spotify:track:5KJSI1MjQeXEBHBYMjgP41,,,,,,,,clickrow,trackdone,false,false,false,,false
2020-12-08T08:58:40Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",239507,IN,115.97.246.131,Nallai Allai,A.R. Rahman,Kaatru Veliyidai (Original Motion Picture Soundtrack),spotify:track:7gwuIhFmNaf3wcRWG1WadD,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-08T09:04:29Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",348206,IN,115.97.246.131,Mazhai Kuruvi,A.R. Rahman,Chekka Chivantha Vaanam,spotify:track:76UZxtnQZvglMQQbGFYmWx,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-08T09:09:04Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",258726,IN,115.97.246.131,Main Tumhara,A.R. Rahman,Dil Bechara,spotify:track:2ZvWoJ82LKCgD0nU9H5ue5,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-08T09:12:30Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",205759,IN,115.97.246.131,Mental Manadhil,A.R. Rahman,O Kadhal Kanmani (Original Motion Picture Soundtrack),spotify:track:4mOmWSdTmf6fSAibGWCKp7,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-09T06:59:21Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",224782,IN,27.5.232.191,Pookkalae Sattru Oyivedungal,A.R. Rahman,I (Original Motion Picture Soundtrack),spotify:track:5Nuv6312XkkZd82AnnSc9g,,,,,,,,trackdone,logout,false,false,false,,false
2020-12-09T15:17:09Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",14927,IN,27.5.232.191,Maskhari,A.R. Rahman,Dil Bechara,spotify:track:3AeOPuf7VfwUsxeQNN9Vsv,,,,,,,,backbtn,endplay,false,false,false,,false
2020-12-09T15:24:50Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",324813,IN,27.5.232.191,Nilamay Poru Nilamy - Land,Shankar Mahadevan,Rhythm,spotify:track:4Bp1MthPY12bay2GrESHoX,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-09T15:43:56Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",378000,IN,27.5.232.191,Varaaha Nathi,Shankar Mahadevan,Sangamam,spotify:track:2TnHkOj2sNuWPDA43jArlb,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-09T15:47:59Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",241973,IN,27.5.232.191,Endrendrum Punnagai,Srinivas,Alaipayuthey,spotify:track:3mrFhHALZLJ4ZIEiS5IPy1,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-09T15:53:34Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",334550,IN,27.5.232.191,Sotta Sotta,Srinivas,Taj Mahal (Original Motion Picture Soundtrack),spotify:track:6erhWA07TRTqtISu5ODMlL,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-09T15:54:38Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",62969,IN,27.5.232.191,Ennavale Adi Ennavale,Unnikrishnan,Kaadhalan,spotify:track:5KfLr5UF3iQN0ifFMQH0ol,,,,,,,,trackdone,fwdbtn,false,false,false,,false
2020-12-09T15:54:40Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",1451,IN,27.5.232.191,Urvashi Uravashi,A.R. Rahman,Kaadhalan,spotify:track:7ACvDfmqOm46Rmmei03KOC,,,,,,,,fwdbtn,fwdbtn,false,false,false,,false
2020-12-09T16:00:03Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",322226,IN,27.5.232.191,"Uppu Karuvaadu ( From ""Mudhalvan"")",Shankar Mahadevan,A.R.Rahman's - Music Forever,spotify:track:6LZMyXLR6hU4RkXXeFwhNd,,,,,,,,fwdbtn,endplay,false,false,false,,false
2020-12-09T16:01:48Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",105140,IN,27.5.232.191,Poopol Poopol,Tippu,Minnalae,spotify:track:6nkfIEg7nFhCusv8CVK0Cq,,,,,,,,clickrow,endplay,false,false,false,,false
2020-12-09T16:07:46Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",358626,IN,27.5.232.191,Pachai Nirame,Hariharan,Alaipayuthey,spotify:track:3hp56aHySTDt9bdZiwdDO1,,,,,,,,clickrow,trackdone,false,false,false,,false
2020-12-09T16:15:01Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",347640,IN,27.5.232.191,Yaro Yarodi,Mahalakshmi Iyer,Alaipayuthey,spotify:track:64SDHmpf8KipIjHvLqCnZA,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-10T09:33:56Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",250217,IN,27.5.222.30,Enna Solla Pogirai,Shankar Mahadevan,Kandukondain Kandukondain,spotify:track:40a42KKcVcnqT3Wz24INIm,,,,,,,,trackdone,logout,false,false,false,,false
2020-12-10T09:34:07Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",496,IN,27.5.222.30,Yaro Yarodi,Mahalakshmi Iyer,Alaipayuthey,spotify:track:64SDHmpf8KipIjHvLqCnZA,,,,,,,,backbtn,endplay,false,false,false,,false
2020-12-10T09:40:38Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",358626,IN,27.5.222.30,Pachai Nirame,Hariharan,Alaipayuthey,spotify:track:3hp56aHySTDt9bdZiwdDO1,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-10T09:41:13Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",33913,IN,27.5.222.30,Yaro Yarodi,Mahalakshmi Iyer,Alaipayuthey,spotify:track:64SDHmpf8KipIjHvLqCnZA,,,,,,,,trackdone,endplay,false,false,false,,false
2020-12-10T09:45:11Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",205759,IN,27.5.222.30,Mental Manadhil,A.R. Rahman,O Kadhal Kanmani (Original Motion Picture Soundtrack),spotify:track:4mOmWSdTmf6fSAibGWCKp7,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-10T09:51:00Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",348206,IN,27.5.222.30,Mazhai Kuruvi,A.R. Rahman,Chekka Chivantha Vaanam,spotify:track:76UZxtnQZvglMQQbGFYmWx,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-10T09:56:14Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",313533,IN,27.5.222.30,Innum Konjam Naeram,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),spotify:track:5KJSI1MjQeXEBHBYMjgP41,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-10T09:58:48Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",152262,IN,27.5.222.30,Endhira Logathu Sundariye,"Sid Sriram,Shashaa Tirupati",2.0 [Tamil] (Original Motion Picture Soundtrack),spotify:track:5kAqEfX3NnqcGx2VhTopEn,,,,,,,,trackdone,endplay,false,false,false,,false
2020-12-10T09:59:06Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",17920,IN,27.5.222.30,Saarattu Vandiyila,A.R. Rahman,Kaatru Veliyidai (Original Motion Picture Soundtrack),spotify:track:42ON67EVCaJpihkP2U38n7,,,,,,,,clickrow,endplay,false,false,false,,false
2020-12-10T10:04:30Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",324813,IN,27.5.222.30,Nilamay Poru Nilamy - Land,Shankar Mahadevan,Rhythm,spotify:track:4Bp1MthPY12bay2GrESHoX,,,,,,,,clickrow,trackdone,false,false,false,,false
2020-12-10T10:10:49Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",378000,IN,27.5.222.30,Varaaha Nathi,Shankar Mahadevan,Sangamam,spotify:track:2TnHkOj2sNuWPDA43jArlb,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-10T10:14:51Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",241973,IN,27.5.222.30,Endrendrum Punnagai,Srinivas,Alaipayuthey,spotify:track:3mrFhHALZLJ4ZIEiS5IPy1,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T07:20:26Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",76115,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,unexpected-exit-while-paused,false,false,false,,false
2020-12-14T07:31:27Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",221707,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,endplay,false,false,false,,false
2020-12-14T07:36:21Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,clickrow,trackdone,false,false,false,,false
2020-12-14T07:40:04Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T07:44:09Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T07:47:49Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T08:29:41Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",53515,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,logout,false,false,false,,false
2020-12-14T10:09:26Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",166325,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T10:15:26Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T10:19:39Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T10:24:03Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T10:27:43Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T10:31:23Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T10:35:03Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T10:38:44Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T10:42:24Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T10:46:04Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T10:53:59Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T10:57:39Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-12-14T11:01:19Z,"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",219661,IN,27.5.250.139,Samajavaragamana - Tamil Version,Nithyashree Venkataramanan,Samajavaragamana,spotify:track:03ImGXlwWrJ4bZkOi5Zbgp,,,,,,,,trackdone,trackdone,false,false,false,,false
